nombres,names,coicop,EUR_A_073,micro_macro_ref,EUR_A_0111,EUR_A_0112,EUR_A_0113,EUR_A_0114,EUR_A_0115,EUR_A_0116,EUR_A_0117,EUR_A_0118,EUR_A_0119,EUR_A_012,EUR_A_021,EUR_A_022,EUR_A_023,EUR_A_031,EUR_A_032,EUR_A_041,EUR_A_042,EUR_A_043,EUR_A_044,EUR_A_045,EUR_A_051,EUR_A_052,EUR_A_053,EUR_A_054,EUR_A_055,EUR_A_056,EUR_A_061,EUR_A_062,EUR_A_063,EUR_A_071,EUR_A_072,EUR_A_073_T,EUR_A_073_A,EUR_A_073_M,EUR_A_081,EUR_A_082,EUR_A_083,EUR_A_091,EUR_A_092,EUR_A_093,EUR_A_094,EUR_A_095,EUR_A_096,EUR_A_101_105,EUR_A_111,EUR_A_112,EUR_A_121,EUR_A_122,EUR_A_123,EUR_A_124,EUR_A_125,EUR_A_126_128
Servicios Postales,Postal services,EUR_A_081,,EUR_A_081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipos de tel�fono y fax,Telephone and fax equipment,EUR_A_082,,EUR_A_082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicios de tel�fono y fax,"Telephone, telegraph and fax services",EUR_A_083,,EUR_A_083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Equipos y accesorios audiovisuales, fotogr�ficos y de procesamiento de informaci�n","Audiovisual, photographic and information processing equipment and accessories including their repairs",EUR_A_091,,EUR_A_091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otros bienes duraderos importantes para el ocio y la cultura,Other important durable goods for leisure and culture,EUR_A_092,,EUR_A_092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Otros art�culos y equipamientos recreativos, flores, jardiner�a y mascotas","Other recreational items and equipment, flowers, gardening, and pets",EUR_A_093,,EUR_A_093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicios recreativos y culturales,Recreational and cultural services,EUR_A_094,,EUR_A_094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prensa, librer�a y papeler�a","Press, bookstore and stationery",EUR_A_095,,EUR_A_095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vacaciones todo incluido,All-include vacations,EUR_A_096,,EUR_A_096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Educaci�n,Education,EUR_A_101_105,,EUR_A_101_105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurantes y caf�s,Food and drinks outside the home,EUR_A_111,,EUR_A_111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicios de alojamiento,Accommodation services,EUR_A_112,,EUR_A_112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuidados personales,Personal care,EUR_A_121,,EUR_A_121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efectos personales no declarados anteriormente,Personal effects not previously declared,EUR_A_122,,EUR_A_122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protecci�n social,Social protection,EUR_A_123,,EUR_A_123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicios de seguro,Insurance services,EUR_A_124,,EUR_A_124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicios financieros no declarados en otra parte,Financial services not declared elsewhere,EUR_A_125,,EUR_A_125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otros servicios no declarados en otra parte,Other services not declared elsewhere,EUR_A_126_128,,EUR_A_126_128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
