COICOP,Divisiones COICOP,1995,1996,1997,1998,1999,2000,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
EUR_A_056,5.6 Bienes y servicios para el mantenimiento corriente del hogar,"6,249","6,535","6,719","7,272","7,942","8,437","8,972","9,455","10,186","10,566","11,453","12,294","13,132","13,489","13,581","14,221","14,155","13,424","12,984","12,987","13,379","13,683","14,102","14,474","14,115","13,302","14,090","14,326"
EUR_A_06,6. SALUD,"9,015","9,581","10,074","10,868","11,884","12,930","13,754","14,697","15,978","17,162","18,466","19,758","21,216","22,645","22,262","22,962","23,594","24,252","24,721","25,642","26,173","26,171","28,298","29,866","31,085","29,565","30,287","31,532"
EUR_A_061,"6.1 Medicamentos y otros productos farmacéuticos, aparatos y material terapéutico","2,766","2,988","3,198","3,554","3,899","4,167","4,504","4,833","5,295","5,718","6,319","6,867","7,803","8,578","8,759","9,260","9,685","10,074","10,956","11,290","11,876","12,018","12,249","12,791","13,265","13,158","13,321","14,287"
EUR_A_062,6.2 Servicios médicos y paramédicos extrahospitalarios,"4,966","5,303","5,609","6,047","6,673","7,422","7,841","8,318","8,963","9,610","10,129","10,707","11,063","11,663","11,208","11,288","11,125","11,384","11,113","11,310","11,445","11,315","12,494","13,230","13,677","12,102","12,836","12,745"
EUR_A_063,6.3 Servicios hospitalarios,"1,283","1,290","1,267","1,267","1,312","1,341","1,409","1,546","1,720","1,834","2,018","2,184","2,350","2,404","2,295","2,414","2,784","2,794","2,652","3,042","2,852","2,838","3,555","3,845","4,143","4,305","4,130","4,500"
EUR_A_07,7. TRANSPORTE,"31,719","34,636","38,251","41,763","46,586","49,426","51,524","51,780","54,593","60,400","66,968","72,996","77,941","79,340","71,579","75,324","74,903","73,926","71,876","74,725","78,045","79,218","87,689","91,656","91,051","64,440","78,436","94,777"
EUR_A_071,7.1 Compra de vehículos,"10,680","11,972","14,194","16,784","19,776","19,072","19,861","18,233","19,247","22,045","23,289","24,236","24,870","22,258","17,893","17,186","14,369","12,647","13,345","15,479","18,708","21,199","23,253","24,741","23,815","18,052","21,524","22,962"
EUR_A_072,7.2 Utilización de vehículos personales,"15,789","16,973","17,976","18,494","19,828","22,892","24,040","25,469","27,102","29,659","34,326","38,664","42,269","45,970","42,733","46,781","48,752","48,996","46,954","47,332","46,744","45,024","50,842","52,620","52,960","39,100","47,766","58,070"
EUR_A_073,7.3 Servicios de transporte,"5,250","5,691","6,081","6,485","6,982","7,462","7,623","8,078","8,244","8,696","9,353","10,096","10,802","11,112","10,953","11,357","11,782","12,283","11,577","11,914","12,593","12,995","13,594","14,295","14,276","7,288","9,146","13,745"
EUR_A_08,8. COMUNICACIONES,"4,930","5,612","6,197","7,262","8,535","9,388","10,910","11,897","11,797","13,171","14,108","15,086","16,380","17,403","17,337","17,524","17,611","16,825","16,132","15,554","15,704","16,932","17,866","18,677","18,486","17,678","18,283","18,796"
EUR_A_081,8.1 Servicios Postales,337,354,364,404,449,453,408,394,349,314,276,248,220,181,141,120,104,103,95,101,92,94,108,110,112,114,148,137
EUR_A_082,8.2 Equipos de teléfono y fax,344,360,378,415,575,581,599,622,628,675,617,595,557,413,293,235,252,487,861,"1,182","1,479","1,704","1,866","1,895","1,885","1,526","1,832","2,353"
EUR_A_083,8.3 Servicios de teléfono y fax,"4,249","4,898","5,455","6,443","7,511","8,354","9,903","10,881","10,820","12,182","13,215","14,243","15,603","16,809","16,903","17,169","17,255","16,235","15,176","14,271","14,133","15,134","15,892","16,672","16,489","16,038","16,303","16,306"
EUR_A_09,"9. OCIO, ESPECTACULOS Y CULTURA","23,355","25,024","26,866","29,995","32,722","36,107","38,152","40,016","42,206","44,612","47,246","49,021","50,928","51,830","48,514","48,609","47,577","44,761","43,446","44,143","46,915","49,591","52,635","54,180","55,800","35,050","45,402","63,671"
EUR_A_091,"9.1 Equipos y accesorios audiovisuales, fotográficos y de procesamiento de información","3,372","3,609","3,869","4,456","4,939","5,500","5,893","5,798","6,223","6,711","7,113","7,311","7,474","7,376","6,856","7,175","6,048","5,108","4,438","4,199","4,357","4,522","4,501","4,416","4,403","4,515","5,442","6,002"
EUR_A_092,9.2 Otros bienes duraderos importantes para el ocio y la cultura,334,364,399,469,494,563,578,612,644,668,688,714,749,689,617,652,688,568,353,336,345,386,397,435,491,453,668,786
EUR_A_093,"9.3 Otros artículos y equipamientos recreativos, flores, jardinería y mascotas","3,029","3,207","3,334","3,631","3,974","4,378","4,655","4,838","5,146","5,412","5,909","6,213","6,751","6,598","6,483","6,475","6,441","6,063","5,958","6,170","6,527","7,312","7,809","7,966","8,112","7,498","8,958","9,592"
EUR_A_094,9.4 Servicios recreativos y culturales,"10,741","11,417","12,341","13,501","14,835","16,249","17,041","18,008","18,749","19,831","20,543","21,294","22,099","22,670","20,972","20,817","20,959","20,016","20,188","20,803","21,996","23,196","25,587","26,260","27,455","15,098","21,891","32,744"
EUR_A_095,"9.5 Prensa, librería y papelería","4,141","4,272","4,403","5,000","4,970","5,229","5,419","5,585","5,715","5,905","6,079","6,206","6,210","6,212","5,921","5,721","5,666","5,098","4,759","4,394","4,543","4,888","4,594","4,634","4,632","3,795","3,785","4,074"
EUR_A_096,9.6 Vacaciones todo incluido,"1,738","2,155","2,520","2,938","3,510","4,188","4,566","5,175","5,729","6,085","6,914","7,283","7,645","8,285","7,665","7,769","7,775","7,908","7,750","8,241","9,147","9,287","9,747","10,469","10,707","3,691","4,658","10,473"
EUR_A_101_105,10. EDUCACION,"4,611","5,079","5,401","5,720","5,984","6,196","6,413","6,841","7,071","7,338","7,845","8,149","8,402","8,332","8,543","8,785","9,173","10,017","10,591","10,838","10,671","10,920","11,120","11,271","11,426","11,055","9,880","10,046"
EUR_A_101,10.1 Educación infantil y primaria,777,809,860,849,870,890,913,959,"1,029","1,092","1,166","1,229","1,315","1,418","1,494","1,560","1,678","1,729","1,758","1,829","1,851","1,887","1,885","1,905","1,920","1,909","1,778","1,771"
EUR_A_102,10.2 Enseñanza secundaria,862,913,878,862,780,715,748,777,814,845,889,934,989,"1,029","1,046","1,089","1,120","1,282","1,376","1,388","1,438","1,490","1,524","1,579","1,634","1,683","1,403","1,415"
EUR_A_103,10.3 Enseñanza post-secundaria no terciaria,0,0,0,0,0,0,4,9,14,18,23,29,35,42,48,56,68,84,108,122,126,128,130,142,155,177,183,198
EUR_A_104,10.4 Enseñanza terciaria,"1,354","1,521","1,631","1,743","1,889","1,945","1,960","1,998","2,047","2,062","2,068","2,128","2,194","2,294","2,364","2,459","2,686","3,031","3,585","3,745","3,597","3,413","3,427","3,427","3,435","3,442","3,024","3,010"
EUR_A_105,10.5 Enseñanza no definida por el grado,"1,618","1,836","2,032","2,266","2,445","2,646","2,788","3,098","3,167","3,321","3,699","3,829","3,869","3,549","3,591","3,621","3,621","3,891","3,764","3,754","3,659","4,002","4,154","4,218","4,282","3,844","3,492","3,652"
EUR_A_11,"11. HOTELES, CAFES Y RESTAURANTES","47,517","50,282","53,180","56,396","60,885","66,314","73,711","78,497","83,356","88,795","93,211","97,997","101,211","100,128","92,471","92,114","91,719","88,866","83,581","85,277","90,594","96,217","105,146","107,262","110,812","58,979","82,781","118,001"
EUR_A_111,11.1 Restaurantes y cafés,"42,640","45,010","47,494","49,804","52,757","57,307","63,731","68,504","73,408","78,891","83,412","88,000","91,125","90,464","84,278","84,177","83,852","80,871","75,331","76,748","81,758","86,156","93,890","95,684","98,719","54,662","73,521","100,844"
EUR_A_112,11.2 Servicios de alojamiento,"4,877","5,272","5,686","6,592","8,128","9,007","9,980","9,993","9,948","9,904","9,799","9,997","10,086","9,664","8,193","7,937","7,867","7,995","8,250","8,529","8,836","10,061","11,256","11,578","12,093","4,317","9,260","17,157"
EUR_A_12,12. OTROS BIENES Y SERVICIOS,"27,828","28,222","30,012","31,710","33,287","39,351","42,297","43,496","45,441","50,529","54,198","60,285","67,006","68,070","59,283","58,364","57,345","57,349","53,878","57,874","59,521","64,337","67,631","71,696","73,832","68,633","70,934","81,653"
EUR_A_121,12.1 Cuidados personales,"5,750","6,095","6,384","7,081","7,923","8,819","9,609","10,430","10,737","11,812","12,829","14,122","15,158","15,547","14,841","14,992","15,473","14,986","14,057","14,440","14,495","15,646","16,854","16,740","17,254","15,357","17,619","19,693"
EUR_A_122,12.3 Efectos personales no declarados anteriormente,"2,975","3,280","3,396","3,611","3,640","3,868","4,035","4,046","4,298","4,765","4,869","5,454","5,690","5,598","4,952","4,919","4,738","4,129","3,924","3,908","3,870","4,141","4,355","4,162","4,128","2,619","3,049","3,823"
EUR_A_123,12.4 Protección social,"1,360","1,469","1,578","1,689","1,781","1,947","2,141","2,520","2,862","3,240","3,671","4,281","4,724","5,174","5,489","5,890","6,109","6,178","6,171","6,402","6,643","6,882","6,941","7,406","7,725","7,118","7,177","7,590"
EUR_A_124,12.5 Servicios de seguro,"4,387","4,681","4,864","4,803","4,183","4,609","5,888","6,964","7,149","8,134","8,761","9,520","11,538","12,130","11,684","11,289","12,372","12,577","11,042","10,042","9,828","10,572","9,569","11,432","9,811","10,451","9,613","14,176"
EUR_A_125,12.6 Servicios financieros no declarados en otra parte,"8,838","7,996","8,830","9,207","10,057","13,970","14,161","12,652","12,914","14,116","15,024","16,969","20,109","19,601","12,609","11,785","9,903","10,269","9,631","13,752","15,314","17,704","20,281","21,681","24,817","25,370","25,074","27,496"
EUR_A_126_128,12.2 y 12.7 Otros servicios,"4,518","4,701","4,960","5,319","5,703","6,138","6,463","6,884","7,481","8,462","9,044","9,939","9,787","10,020","9,708","9,489","8,750","9,210","9,053","9,330","9,371","9,392","9,631","10,275","10,097","7,718","8,402","8,875"
EUR_NR,Gasto de los hogares no residentes en el territorio económico,"15,417","17,013","19,230","21,806","24,741","27,567","29,328","28,931","30,517","31,818","33,926","36,101","37,554","37,737","34,789","36,145","39,480","40,170","40,388","42,077","43,983","48,592","54,456","56,410","58,367","14,033","25,208","58,672"
EUR_R,Gasto de los hogares residentes en el resto del mundo,"2,713","3,077","3,311","3,786","4,423","5,167","5,857","6,179","6,442","7,867","9,735","10,636","11,513","11,124","9,776","10,193","9,963","9,566","9,967","10,999","12,438","13,083","15,058","17,321","19,746","6,157","8,965","16,897"
TOTAL,GASTO EN CONSUMO FINAL DE LOS HOGARES,"276,379","291,146","307,809","326,674","349,559","380,340","408,931","432,783","457,473","492,934","530,024","570,855","609,744","627,013","598,490","612,349","611,386","602,781","590,837","601,586","618,514","636,323","666,148","688,061","701,308","614,652","673,388","751,825"
